facebook_corpus_msr_1723796,Well said sonu..you have courage to stand against dadagiri of Muslims,OAG
facebook_corpus_msr_466073,"Most of Private Banks ATM's Like HDFC, ICICI etc are out of cash. Only Public sector bank's ATM working",NAG
facebook_corpus_msr_1493901,"Now question is, Pakistan will adhere to this?",OAG
facebook_corpus_msr_405512,Pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts  on others.....all the rascals have gathered there...,OAG
facebook_corpus_msr_1521685,"??we r against cow slaughter,so of course it will stop leather manufacturing if it happens.",NAG
facebook_corpus_msr_462570,Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decent Restaurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.,CAG
facebook_corpus_msr_465051,How does inflation react to all the after shocks of this demon...?,NAG
facebook_corpus_msr_450994,Not good job.....this guis creating a problem n our socacity,CAG
facebook_corpus_msr_326287,This is a false news Indian media is simply misguiding there nation and creating hatred..Media should be v careful while spreading the news..SHAME.:(,NAG
facebook_corpus_msr_430450,"no permanent foes, no permanent friends. interest is permanent !",NAG
facebook_corpus_msr_1804887,"Deepak Kumar Sharma Saab...chalo aap ki Ye baat ek baar mann li...Now whatever pm Saab has talked about in 2014...Kya kya Kia us main...He is just a campaigner of BJP nothing else,ek cheez bta do.... but he is implementing all the bills which he opposed before 2014.. Example- FDI,GST and list is long...",NAG
facebook_corpus_msr_2111268,Communist parties killed lacks of opponents in WB in 35 years ruling????? ?,OAG
facebook_corpus_msr_470188,"Why you guys counter the modi govt decisions, its fact there is black money cleanup stand taken ... so many discussions on news channel, individuals meetings 
Why so much of efforts made by media and make people scared and provoke",NAG
facebook_corpus_msr_2111389,Rss is 3 time ban terrorist organization,OAG
facebook_corpus_msr_405837,"No 
Same acting ll be there .. 
but we ll watch no option !!!
😬😜",NAG
facebook_corpus_msr_482226,"Happy Diwali.!!let's wish the next one year health,wealth n growth to our Indian economy.",NAG
facebook_corpus_msr_439533,Lolz... He said he is gonna employ large number of people in cyber security sector.. are you gonna employ illiterates in that profile..????,NAG
facebook_corpus_msr_1525131,"So funny stupid,,,,,,,,",OAG
facebook_corpus_msr_443046,absolutely! the deeper you dive the shallower cushion you have .,CAG
facebook_corpus_msr_2111210,"Brown Sahib , anti national leftist commies , media and Muslim pandering Hindu sick-O-Lars have milked ""secularism"" to all it was worth to render it into a mere failed slogan . Sick-O-Larism has been nothing more than continuation of British policy of ""divide and rule"" . That RSS is opposed to ""the idea of secularism"" , absolutely  because it has been used as a dagger into the heart of Hindus , Hinduism and Hindustan .",CAG
facebook_corpus_msr_461000,"Now nifty above 20 day moving average, what next 50 day moving average 8359",NAG
facebook_corpus_msr_1429853,Good to see when their in no terrror in pak and afgan and india as well so in can for development  step,NAG
facebook_corpus_msr_331246,"First of all,there is no gaurakshak in assam.the villagers beaten those two thieves...these things happen,when thieves try to steal the only property farmers have.",NAG
facebook_corpus_msr_1805375,AAP dont need the monsters like u,OAG
facebook_corpus_msr_469159,For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt,CAG
facebook_corpus_msr_464500,"Once upon a time Bengal/ Kolkata was most prosperous states in India. Now it is compared with Bihar/ Odisa. Wake up Mitra. Use your knowledge to help Bengal, rather than delivering stupid lecture.",NAG
facebook_corpus_msr_322726,"Oh Pak army or should say porki hijada army whose country didn't excepted the bodies of their dickless coward army during kargil war,army which submitted infront of Indian army in 1971 and east Pakistan became Bangladesh...And hijada army couldn't even save school childrens from merciless killings and Indian forces really  reached Lahore in 1965..",OAG
facebook_corpus_msr_334533,He would be a lone boss with all the supporters shifts with kejriwal.,NAG
facebook_corpus_msr_1723831,We want to get rid of u Indians......why don't u hear our loud cries,OAG
facebook_corpus_msr_417581,"Only 13 % of jio customers converted into prime, so they extended d date😁",NAG
facebook_corpus_msr_1990156,"Loot of people's mandate, is it democracy?",OAG
facebook_corpus_msr_2032235,again the same thing in eyes of judiciary he is not terrorist he is accused in our eyes is terrorist and he deserved to killed who ever keep a bad eye on our nation he are she should be killed without no mercy,OAG
facebook_corpus_msr_1723874,This problem is occur only in India not in other countries?,CAG
facebook_corpus_msr_416461,POSITIONAL BUY JPASSOCIATE ON EVERY DECLINE 13.00-10.50-7.50-5.50 FOR TARGET 36 AND 56 (TIME FRAME 2-3 YEARS),NAG
facebook_corpus_msr_445648,In government office implement the online transactions... also all parties should show off their account transaction for running their elections in RTI.,CAG
facebook_corpus_msr_1805076,Dramebaaj anna kya bjp ki government aate hi lokpal Bill aur lokpal bhool gaye baat karne Mae sharm bhi nahi aatee,OAG
facebook_corpus_msr_382223,Unfortunately this is wat indian govt is capable of doing!!!!...i dint vote for modiji to see such crap..,CAG
facebook_corpus_msr_397776,"it's coward like  u who backstab .... just wait and watch .. u forgot the day when 2 lakh porkis soldier were freed from India ... by the way what r u doing in indian news channel , dont your country have your own channels ?",OAG
facebook_corpus_msr_427865,Hi Anuj brought  divis to days at 710 what to do and Tata motor dvr 275 any target,NAG
facebook_corpus_msr_445669,People talk about common man suffering all the time.This is the same country where thousands laid their lives for freedom.Cant the common man endure little trouble to stand in queues for the greater good.,CAG
facebook_corpus_msr_470981,I visited 5 atm but I cont able to withdraw from money..not working..,CAG
facebook_corpus_msr_406854,"I know you people of Nagaland

And Meghalaya hate bjp

But its the truth

2 lok sabha seats from those 2 states can't stop bjp

Assam and arunachal yes it matters

But these states are becoming strongholds of bjp day by day
Including Manipur

Tripura

And sikkim",NAG
facebook_corpus_msr_450764,"Modi ji,  all the Pain & nö Real Gain.",CAG
